#{"t_start": 1743512949.6936781, "env_id": "None"}
r,l,t
10.0,1,2.490468
10.0,1,2.490905
5.0,1,2.491086
5.0,1,2.493891
10.0,1,2.494385
10.0,1,2.494681
10.0,1,2.494929
-3.0,1,2.500147
-3.0,1,2.500527
10.0,1,2.502093
10.0,1,2.502413
-3.0,1,2.505831
-3.0,1,2.506152
-3.0,1,2.506751
5.0,1,2.507036
-3.0,1,2.50964
10.0,1,2.509868
5.0,1,2.510033
-3.0,1,2.510183
10.0,1,2.516695
10.0,1,2.517078
10.0,1,2.517363
5.0,1,2.517594
5.0,1,2.520365
-3.0,1,2.520829
5.0,1,2.521083
5.0,1,2.521265
10.0,1,2.524695
10.0,1,2.52502
10.0,1,2.526267
-3.0,1,2.52656
10.0,1,2.533329
10.0,1,2.53398
10.0,1,2.534245
10.0,1,2.534454
10.0,1,2.538876
10.0,1,2.539141
5.0,1,2.539386
-3.0,1,2.539644
-3.0,1,2.543219
5.0,1,2.543481
10.0,1,2.543671
10.0,1,2.543906
10.0,1,2.549763
10.0,1,2.550056
10.0,1,2.550248
5.0,1,2.550426
10.0,1,2.554273
-3.0,1,2.554602
10.0,1,2.555809
5.0,1,2.556107
10.0,1,2.558318
10.0,1,2.558587
10.0,1,2.558834
10.0,1,2.559475
10.0,1,2.56415
-3.0,1,2.564497
5.0,1,2.564846
10.0,1,2.565285
10.0,1,2.569468
-3.0,1,2.569893
5.0,1,2.570815
-3.0,1,2.571088
-3.0,1,2.574227
5.0,1,2.574451
10.0,1,2.574611
10.0,1,2.574782
-3.0,1,2.576867
10.0,1,2.577088
10.0,1,2.579315
10.0,1,2.579721
10.0,1,2.583921
10.0,1,2.584242
10.0,1,2.584487
10.0,1,2.585038
10.0,1,2.588807
10.0,1,2.58914
10.0,1,2.589915
10.0,1,2.590222
10.0,1,2.593766
10.0,1,2.59399
-3.0,1,2.59415
10.0,1,2.5943
10.0,1,2.599525
5.0,1,2.599791
-3.0,1,2.59998
5.0,1,2.600155
10.0,1,2.605202
-3.0,1,2.605503
-3.0,1,2.606673
-3.0,1,2.606879
-3.0,1,2.609325
10.0,1,2.609635
-3.0,1,2.609882
-3.0,1,2.610118
10.0,1,2.616108
-3.0,1,2.61656
10.0,1,2.616824
10.0,1,2.617064
10.0,1,2.622137
5.0,1,2.622372
10.0,1,2.622539
5.0,1,2.6227
-3.0,1,2.626045
10.0,1,2.626331
-3.0,1,2.626559
-3.0,1,2.62676
5.0,1,2.630825
5.0,1,2.63123
5.0,1,2.632723
-3.0,1,2.633035
10.0,1,2.636568
10.0,1,2.636919
-3.0,1,2.637262
-3.0,1,2.63747
10.0,1,2.640564
-3.0,1,2.640792
-3.0,1,2.640956
-3.0,1,2.641105
5.0,1,2.649547
10.0,1,2.65059
10.0,1,2.65084
10.0,1,2.651119
10.0,1,2.657333
5.0,1,2.657689
10.0,1,2.657954
-3.0,1,2.658198
5.0,1,2.661171
10.0,1,2.661388
10.0,1,2.662835
10.0,1,2.664275
5.0,1,2.667104
10.0,1,2.667334
10.0,1,2.667498
-3.0,1,2.667648
10.0,1,2.672547
10.0,1,2.672842
5.0,1,2.673044
10.0,1,2.67349
5.0,1,2.676575
10.0,1,2.676798
5.0,1,2.677007
10.0,1,2.677262
10.0,1,2.683522
-3.0,1,2.68375
5.0,1,2.684089
5.0,1,2.684322
-3.0,1,2.688729
10.0,1,2.689188
10.0,1,2.691004
10.0,1,2.691225
10.0,1,2.693642
10.0,1,2.693858
10.0,1,2.694114
5.0,1,2.696768
-3.0,1,2.700699
10.0,1,2.701029
10.0,1,2.701224
5.0,1,2.701526
5.0,1,2.707732
10.0,1,2.708401
10.0,1,2.708899
-3.0,1,2.709138
10.0,1,2.715501
10.0,1,2.715949
10.0,1,2.716211
-3.0,1,2.716448
-3.0,1,2.72027
10.0,1,2.720814
-3.0,1,2.722352
10.0,1,2.72274
10.0,1,2.731843
10.0,1,2.732369
10.0,1,2.732639
10.0,1,2.73287
-3.0,1,2.737852
5.0,1,2.73818
10.0,1,2.738342
-3.0,1,2.738491
-3.0,1,2.741764
10.0,1,2.742084
10.0,1,2.742388
-3.0,1,2.74262
5.0,1,2.748744
5.0,1,2.749009
10.0,1,2.749629
5.0,1,2.749917
10.0,1,2.754267
10.0,1,2.754543
-3.0,1,2.756034
-3.0,1,2.756399
10.0,1,2.759709
10.0,1,2.760002
10.0,1,2.760225
10.0,1,2.760437
10.0,1,2.766234
10.0,1,2.766474
10.0,1,2.766711
-3.0,1,2.766948
10.0,1,2.77535
10.0,1,2.775696
5.0,1,2.775941
5.0,1,2.776172
-3.0,1,2.786166
10.0,1,2.787564
10.0,1,2.78798
10.0,1,2.788337
5.0,1,2.791368
10.0,1,2.791633
10.0,1,2.792827
10.0,1,2.793129
10.0,1,2.806703
10.0,1,2.806959
5.0,1,2.807123
10.0,1,2.807274
10.0,1,2.810484
10.0,1,2.810804
5.0,1,2.811054
-3.0,1,2.811291
10.0,1,2.816096
10.0,1,2.816369
10.0,1,2.816579
10.0,1,2.816732
10.0,1,2.820277
10.0,1,2.821358
10.0,1,2.821683
10.0,1,2.82195
-3.0,1,2.824988
10.0,1,2.825306
10.0,1,2.826441
-3.0,1,2.826654
5.0,1,2.831219
10.0,1,2.831529
5.0,1,2.831773
10.0,1,2.832009
10.0,1,2.83631
5.0,1,2.836636
10.0,1,2.836968
10.0,1,2.837411
5.0,1,2.841313
5.0,1,2.841556
10.0,1,2.841742
10.0,1,2.841919
10.0,1,2.844576
-3.0,1,2.844808
-3.0,1,2.844968
5.0,1,2.845252
5.0,1,2.849859
5.0,1,2.850168
10.0,1,2.851558
10.0,1,2.851791
-3.0,1,2.858056
10.0,1,2.858396
10.0,1,2.858636
10.0,1,2.858851
5.0,1,2.864214
10.0,1,2.864636
10.0,1,2.864859
5.0,1,2.865568
5.0,1,2.86989
10.0,1,2.870942
-3.0,1,2.871246
10.0,1,2.872405
-3.0,1,2.875634
10.0,1,2.875963
10.0,1,2.87622
-3.0,1,2.876459
10.0,1,2.881314
10.0,1,2.882103
10.0,1,2.883348
-3.0,1,2.883666
-3.0,1,2.887435
10.0,1,2.887665
-3.0,1,2.88783
10.0,1,2.88815
-3.0,1,2.891432
10.0,1,2.891693
-3.0,1,2.89188
10.0,1,2.892053
5.0,1,2.900291
10.0,1,2.900614
5.0,1,2.90089
10.0,1,2.90106
10.0,1,2.906025
-3.0,1,2.906836
10.0,1,2.907098
-3.0,1,2.907346
5.0,1,2.909919
10.0,1,2.910136
-3.0,1,2.91141
-3.0,1,2.911719
10.0,1,2.916585
10.0,1,2.91726
-3.0,1,2.917493
5.0,1,2.917685
10.0,1,2.921577
-3.0,1,2.921896
10.0,1,2.922124
-3.0,1,2.922299
-3.0,1,2.925772
-3.0,1,2.92603
10.0,1,2.926218
10.0,1,2.926392
-3.0,1,2.932158
10.0,1,2.932489
5.0,1,2.93274
10.0,1,2.932986
10.0,1,2.93554
10.0,1,2.935854
-3.0,1,2.93788
5.0,1,2.93828
10.0,1,2.941294
10.0,1,2.941551
10.0,1,2.941738
5.0,1,2.941937
10.0,1,2.945411
10.0,1,2.946769
-3.0,1,2.947148
10.0,1,2.947491
10.0,1,2.952247
-3.0,1,2.952573
10.0,1,2.952829
5.0,1,2.953075
-3.0,1,2.957432
5.0,1,2.957751
10.0,1,2.957997
10.0,1,2.958232
10.0,1,2.961343
-3.0,1,2.962041
-3.0,1,2.96387
10.0,1,2.964226
-3.0,1,2.971728
10.0,1,2.972034
10.0,1,2.972816
10.0,1,2.973053
5.0,1,2.975537
10.0,1,2.975823
10.0,1,2.976243
-3.0,1,2.976438
10.0,1,2.982259
5.0,1,2.982588
-3.0,1,2.982829
-3.0,1,2.983059
-3.0,1,2.986582
-3.0,1,2.986899
10.0,1,2.987125
10.0,1,2.987469
5.0,1,2.991277
10.0,1,2.991569
5.0,1,2.992731
5.0,1,2.992985
10.0,1,2.997392
10.0,1,2.997718
-3.0,1,2.998942
10.0,1,2.999575
10.0,1,3.002684
10.0,1,3.002968
10.0,1,3.003726
10.0,1,3.004113
10.0,1,3.00856
10.0,1,3.008813
-3.0,1,3.009001
-3.0,1,3.009176
-3.0,1,3.080482
-3.0,1,3.080758
10.0,1,3.082122
10.0,1,3.084015
-3.0,1,3.12903
10.0,1,3.129413
10.0,1,3.130755
-3.0,1,3.130972
-3.0,1,3.164425
10.0,1,3.164686
10.0,1,3.164853
-3.0,1,3.165066
-3.0,1,3.168561
5.0,1,3.168961
5.0,1,3.169272
10.0,1,3.169557
10.0,1,3.174291
-3.0,1,3.174544
-3.0,1,3.174736
-3.0,1,3.174915
-3.0,1,3.178664
-3.0,1,3.179173
10.0,1,3.17944
5.0,1,3.179642
-3.0,1,3.191048
-3.0,1,3.191354
5.0,1,3.192648
10.0,1,3.192983
